METHOD,LAYER,BIM,CW,PGD
IF_250,classifier.0,0.705,0.73,0.851
IF_250,classifier.3,0.702,0.807,0.759
IF_250,features.14,0.595,0.57,0.567
IF_250,features.28,0.579,0.54,0.556
IF_250,features.7,0.579,0.511,0.745
LOF_5,classifier.0,0.675,0.727,0.666
LOF_5,classifier.3,0.581,0.613,0.529
LOF_5,features.14,0.542,0.56,0.518
LOF_5,features.28,0.51,0.506,0.508
LOF_5,features.7,0.504,0.504,0.531
MD,classifier.0,0.676,0.71,0.809
MD,classifier.3,0.69,0.792,0.733
MD,features.14,0.538,0.527,0.539
MD,features.28,0.603,0.553,0.728
MD,features.7,0.579,0.509,0.748
OCSVM_rbf_0.01,classifier.0,0.739,0.796,0.742
OCSVM_rbf_0.01,classifier.3,0.688,0.805,0.71
OCSVM_rbf_0.01,features.14,0.568,0.586,0.548
OCSVM_rbf_0.01,features.28,0.585,0.52,0.777
OCSVM_rbf_0.01,features.7,0.537,0.501,0.648
