METHOD,LAYER,BIM,CW,PGD
IF_250,classifier.0,0.309,0.321,0.11
IF_250,classifier.3,0.283,0.211,0.207
IF_250,features.14,0.396,0.45,0.322
IF_250,features.28,0.335,0.406,0.109
IF_250,features.7,0.409,0.489,0.193
LOF_5,classifier.0,0.75,0.776,0.793
LOF_5,classifier.3,0.683,0.683,0.623
LOF_5,features.14,0.513,0.488,0.506
LOF_5,features.28,0.74,0.691,0.867
LOF_5,features.7,0.471,0.496,0.264
MD,classifier.0,0.61,0.609,0.835
MD,classifier.3,0.678,0.761,0.771
MD,features.14,0.559,0.524,0.648
MD,features.28,0.621,0.551,0.875
MD,features.7,0.567,0.507,0.76
OCSVM_rbf_0.01,classifier.0,0.252,0.264,0.106
OCSVM_rbf_0.01,classifier.3,0.279,0.218,0.175
OCSVM_rbf_0.01,features.14,0.346,0.341,0.452
OCSVM_rbf_0.01,features.28,0.325,0.395,0.114
OCSVM_rbf_0.01,features.7,0.413,0.49,0.2
