METHOD,LAYER,BIM,CW,PGD
IF_250,classifier.0,0.689,0.699,0.863
IF_250,classifier.3,0.71,0.8,0.766
IF_250,features.14,0.606,0.563,0.6
IF_250,features.28,0.655,0.595,0.847
IF_250,features.7,0.59,0.51,0.793
LOF_5,classifier.0,0.732,0.767,0.757
LOF_5,classifier.3,0.655,0.673,0.596
LOF_5,features.14,0.536,0.556,0.525
LOF_5,features.28,0.695,0.656,0.847
LOF_5,features.7,0.512,0.504,0.642
MD,classifier.0,0.629,0.648,0.829
MD,classifier.3,0.68,0.777,0.748
MD,features.14,0.554,0.526,0.601
MD,features.28,0.632,0.562,0.866
MD,features.7,0.578,0.509,0.777
OCSVM_rbf_0.01,classifier.0,0.747,0.762,0.819
OCSVM_rbf_0.01,classifier.3,0.725,0.82,0.796
OCSVM_rbf_0.01,features.14,0.621,0.639,0.527
OCSVM_rbf_0.01,features.28,0.618,0.583,0.712
OCSVM_rbf_0.01,features.7,0.579,0.509,0.781
