METHOD,LAYER,BIM,CW,PGD
IF_250,classifier.0,0.313,0.338,0.113
IF_250,classifier.3,0.285,0.218,0.179
IF_250,features.14,0.391,0.455,0.289
IF_250,features.28,0.336,0.406,0.102
IF_250,features.7,0.409,0.487,0.193
LOF_5,classifier.0,0.784,0.797,0.869
LOF_5,classifier.3,0.711,0.704,0.647
LOF_5,features.14,0.507,0.49,0.479
LOF_5,features.28,0.74,0.688,0.863
LOF_5,features.7,0.462,0.494,0.254
MD,classifier.0,0.592,0.577,0.84
MD,classifier.3,0.673,0.743,0.79
MD,features.14,0.564,0.525,0.665
MD,features.28,0.617,0.549,0.875
MD,features.7,0.561,0.506,0.752
OCSVM_rbf_0.01,classifier.0,0.274,0.303,0.073
OCSVM_rbf_0.01,classifier.3,0.284,0.237,0.152
OCSVM_rbf_0.01,features.14,0.33,0.338,0.406
OCSVM_rbf_0.01,features.28,0.321,0.395,0.1
OCSVM_rbf_0.01,features.7,0.412,0.49,0.197
