METHOD,LAYER,BIM,CW,PGD
IF_250,classifier.0,0.691,0.68,0.879
IF_250,classifier.3,0.717,0.794,0.798
IF_250,features.14,0.606,0.544,0.675
IF_250,features.28,0.664,0.597,0.884
IF_250,features.7,0.593,0.512,0.808
LOF_5,classifier.0,0.75,0.776,0.793
LOF_5,classifier.3,0.683,0.683,0.623
LOF_5,features.14,0.513,0.512,0.506
LOF_5,features.28,0.74,0.691,0.867
LOF_5,features.7,0.529,0.504,0.736
MD,classifier.0,0.61,0.609,0.835
MD,classifier.3,0.678,0.761,0.771
MD,features.14,0.559,0.524,0.648
MD,features.28,0.621,0.551,0.875
MD,features.7,0.567,0.507,0.76
OCSVM_rbf_0.01,classifier.0,0.748,0.736,0.894
OCSVM_rbf_0.01,classifier.3,0.721,0.782,0.825
OCSVM_rbf_0.01,features.14,0.654,0.659,0.548
OCSVM_rbf_0.01,features.28,0.675,0.605,0.886
OCSVM_rbf_0.01,features.7,0.587,0.51,0.8
