METHOD,LAYER,BIM,CW,PGD
IF_250,classifier.0,0.687,0.664,0.898
IF_250,classifier.3,0.717,0.777,0.823
IF_250,features.14,0.609,0.548,0.697
IF_250,features.28,0.662,0.595,0.891
IF_250,features.7,0.594,0.511,0.81
LOF_5,classifier.0,0.784,0.797,0.869
LOF_5,classifier.3,0.711,0.704,0.647
LOF_5,features.14,0.507,0.51,0.521
LOF_5,features.28,0.74,0.688,0.863
LOF_5,features.7,0.538,0.506,0.746
MD,classifier.0,0.592,0.577,0.84
MD,classifier.3,0.673,0.743,0.79
MD,features.14,0.564,0.525,0.665
MD,features.28,0.617,0.549,0.875
MD,features.7,0.561,0.506,0.752
OCSVM_rbf_0.01,classifier.0,0.726,0.697,0.927
OCSVM_rbf_0.01,classifier.3,0.716,0.763,0.848
OCSVM_rbf_0.01,features.14,0.67,0.662,0.594
OCSVM_rbf_0.01,features.28,0.679,0.605,0.9
OCSVM_rbf_0.01,features.7,0.588,0.51,0.803
