METHOD,LAYER,BIM,CW,PGD
IF_250,classifier.0,0.68,0.715,0.693
IF_250,classifier.3,0.706,0.766,0.738
IF_250,features.14,0.556,0.546,0.543
IF_250,features.28,0.547,0.534,0.507
IF_250,features.7,0.542,0.507,0.537
LOF_5,classifier.0,0.509,0.505,0.578
LOF_5,classifier.3,0.511,0.547,0.54
LOF_5,features.14,0.501,0.503,0.53
LOF_5,features.28,0.506,0.511,0.555
LOF_5,features.7,0.504,0.502,0.536
MD,classifier.0,0.677,0.714,0.657
MD,classifier.3,0.703,0.77,0.715
MD,features.14,0.548,0.545,0.526
MD,features.28,0.561,0.543,0.561
MD,features.7,0.547,0.507,0.559
OCSVM_rbf_0.01,classifier.0,0.589,0.671,0.675
OCSVM_rbf_0.01,classifier.3,0.575,0.571,0.611
OCSVM_rbf_0.01,features.14,0.573,0.542,0.652
OCSVM_rbf_0.01,features.28,0.569,0.512,0.726
OCSVM_rbf_0.01,features.7,0.604,0.519,0.804
